,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,query
0,0004_09,0003_14,0004_01,0004_06,0004_05,0004_08
1,0004_02,0004_06,0004_09,0004_01,0004_10,0004_04
2,0005_08,0005_02,0005_04,0001_10,0005_07,0005_06
3,0012_10,0012_07,0012_02,0012_09,0002_03,0012_08
4,0012_09,0012_07,0012_02,0012_10,0002_05,0012_05
5,0005_02,0005_01,0005_08,0007_24,0104_001,0005_03
6,0002_07,0002_04,0012_02,0002_08,0012_01,0002_06
7,0002_08,0002_03,0002_07,0012_10,0012_07,0002_02
8,0003_12,0003_14,0003_06,0003_07,0003_03,0003_10
9,0012_06,0003_05,0007_14,0103_009,0011_15,0003_01
10,0001_01,0046_091,z4311121651514_9bb2c6488e00fdff40bdf1db3406a718,0063_034,0063_023,0001_03
11,0001_01,0001_02,0001_10,0001_09,0001_11,0001_08
12,0005_006,0005_009,0005_002,0005_014,0096_022,0010_14
13,0005_019,0091_014,0096_001,0005_026,0006_025,0010_03
14,0013_03,0013_16,0013_01,0013_11,0017_036,0013_17
15,0013_01,0021_000,0017_000,0017_003,0036_012,0013_07
16,0008_15,0077_002,0077_006,0077_003,0077_000,0008_13
17,0008_12,0008_01,0008_03,0008_15,0046_023,0008_05
18,0009_17,0009_18,0009_05,0106_016,0008_17,0009_14
19,0022_016,0009_09,0082_045,0082_046,0022_015,0009_11
20,0073_018,0073_015,0077_005,0094_021,0001_003,0006_16
21,0006_15,0083_008,0077_015,0006_14,0083_007,0006_01
22,0011_05,0011_09,0011_08,0011_11,0011_13,0011_03
23,0011_11,0011_09,0011_13,0011_02,0011_07,0011_10
24,0007_08,0007_06,0007_23,0007_16,0091_010,0007_22
25,0007_08,0096_020,0007_06,0096_018,0096_002,0007_18
